symbol,name,market,latestClosingDate,is_valid,four_quarters_eps,three_quarters_eps,two_quarters_eps,latest_quarter_eps,four_quarters_revenue,three_quarters_revenue,two_quarters_revenue,latest_quarter_revenue,four_years_eps,three_years_eps,two_years_eps,latest_year_eps,latest_year_roe
1301.T,極洋,プライム（内国株式）,2023-06-30,1.0,217.78,160.68,-16.65,167.18,68337000000.0,79768000000.0,58780000000.0,62367000000.0,186.4,351.2,424.04,529.09,12.16
1332.T,ニッスイ,プライム（内国株式）,2023-06-30,1.0,24.05,21.9,8.46,19.14,192952000000.0,201130000000.0,189844000000.0,199844000000.0,47.27,46.26,55.29,67.96,9.79
1333.T,マルハニチロ,プライム（内国株式）,2023-06-30,1.0,103.58,106.12,1.84,131.52,252623000000.0,295779000000.0,239436000000.0,250922000000.0,238.09,109.73,320.91,367.66,10.43
1375.T,雪国まいたけ,プライム（内国株式）,2023-06-30,1.0,14.81,32.57,-13.81,-7.09,9311000000.0,14941000000.0,9749000000.0,8274000000.0,109.06,118.87,74.89,29.59,11.35
1376.T,カネコ種苗,スタンダード（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
1377.T,サカタのタネ,プライム（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
1379.T,ホクト,プライム（内国株式）,2023-06-30,1.0,-49.49,15.14,-10.01,-9.95,15952000000.0,22242000000.0,19121000000.0,16849000000.0,45.89,121.05,75.84,-61.06,-4.0
1380.T,秋川牧園,スタンダード（内国株式）,2023-06-30,1.0,3.88,15.7,17.8,12.14,1719647000.0,1958293000.0,1773917000.0,1818077000.0,17.19,40.67,38.18,37.34,7.31
1381.T,アクシーズ,スタンダード（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
1382.T,ホーブ,スタンダード（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
1383.T,ベルグアース,スタンダード（内国株式）,2023-04-30,1.0,22.97,111.59,-147.03,103.61,1582510000.0,2162783000.0,925380000.0,2370861000.0,-2.97,-168.85,96.23,139.84,12.47
1384.T,ホクリヨウ,スタンダード（内国株式）,2023-06-30,1.0,28.73,56.15,-21.52,72.11,4221000000.0,4741000000.0,4884000000.0,4750000000.0,26.37,15.7,140.82,88.07,6.93
1400.T,ルーデン・ホールディングス,グロース（内国株式）,2023-06-30,1.0,-0.94,0.42,6.3,2.94,578636000.0,602764000.0,819428000.0,724463000.0,-2.62,6.43,-35.29,-1.08,-0.59
1401.T,エムビーエス,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
1407.T,ウエストホールディングス,スタンダード（内国株式）,2023-05-31,1.0,81.36,3.85,19.01,41.82,18865000000.0,6305000000.0,8496000000.0,11460000000.0,78.91,95.96,141.11,92.49,15.46
1414.T,ショーボンドホールディングス,プライム（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
1417.T,ミライト・ワン,プライム（内国株式）,2023-06-30,1.0,11.36,26.65,111.09,-5.61,106749000000.0,118621000000.0,163281000000.0,100524000000.0,140.5,223.45,232.29,143.05,5.99
1418.T,インターライフホールディングス,スタンダード（内国株式）,2023-05-31,1.0,-3.51,-4.64,11.18,2.55,2405495000.0,2323370000.0,3502237000.0,2993663000.0,5.41,5.08,3.58,8.96,5.47
1419.T,タマホーム,プライム（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
1420.T,サンヨーホームズ,スタンダード（内国株式）,2023-06-30,1.0,3.99,-22.03,51.08,-44.36,9923635000.0,9446598000.0,14701332000.0,6860175000.0,28.46,40.36,25.86,-19.47,-1.69
1429.T,日本アクア,プライム（内国株式）,2023-06-30,1.0,14.27,12.26,12.44,14.83,6517243000.0,7410928000.0,6368531000.0,6789728000.0,36.68,38.63,27.44,44.57,19.45
1430.T,ファーストコーポレーション,プライム（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
1431.T,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
1433.T,ベステラ,プライム（内国株式）,2023-04-30,1.0,-6.06,-5.64,-9.03,-3.55,851518000.0,1330232000.0,1595043000.0,1537722000.0,7.18,17.06,167.76,-7.16,-1.47
1434.T,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,2023-05-31,1.0,23.71,2.21,97.35,96.06,2992532000.0,2488972000.0,3318976000.0,2666304000.0,-19.08,47.85,69.66,76.13,11.6
1435.T,Ｒｏｂｏｔ　Ｈｏｍｅ,プライム（内国株式）,2023-06-30,1.0,0.86,4.28,3.86,2.24,1351186000.0,1677429000.0,2171075000.0,1592177000.0,-161.22,-11.05,4.1,7.89,9.11
1436.T,フィット,グロース（内国株式）,2023-04-30,1.0,13.37,26.7,9.49,26.44,2050518000.0,2445306000.0,1894854000.0,2463299000.0,18.47,37.16,65.94,75.54,6.81
1438.T,岐阜造園,スタンダード（内国株式）,2023-06-30,1.0,9.2,28.62,24.32,20.39,1189366000.0,1392711000.0,1160919000.0,1261924000.0,59.73,62.28,69.01,77.12,7.56
1439.T,安江工務店,スタンダード（内国株式）,2023-06-30,1.0,13.11,92.52,16.39,11.39,1626503000.0,2215624000.0,1555779000.0,1632429000.0,94.19,-10.13,68.11,100.86,8.3
1443.T,技研ホールディングス,スタンダード（内国株式）,2023-06-30,1.0,3.06,7.45,1.25,3.31,1228080000.0,1567460000.0,1215156000.0,1186125000.0,40.4,45.97,28.74,20.27,3.45
1444.T,ニッソウ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
1446.T,キャンディル,スタンダード（内国株式）,2023-06-30,1.0,4.17,5.57,13.24,2.26,2827061000.0,3023493000.0,3321500000.0,2887227000.0,24.0,17.88,-6.79,9.83,4.19
