symbol,name,market,latestClosingDate
1301.T,極洋,プライム（内国株式）,1970-01-01
1332.T,ニッスイ,プライム（内国株式）,1970-01-01
1333.T,マルハニチロ,プライム（内国株式）,1970-01-01
1375.T,雪国まいたけ,プライム（内国株式）,1970-01-01
1376.T,カネコ種苗,スタンダード（内国株式）,1970-01-01
1377.T,サカタのタネ,プライム（内国株式）,1970-01-01
1379.T,ホクト,プライム（内国株式）,1970-01-01
1380.T,秋川牧園,スタンダード（内国株式）,1970-01-01
1381.T,アクシーズ,スタンダード（内国株式）,1970-01-01
1382.T,ホーブ,スタンダード（内国株式）,1970-01-01
1383.T,ベルグアース,スタンダード（内国株式）,1970-01-01
1384.T,ホクリヨウ,スタンダード（内国株式）,1970-01-01
1400.T,ルーデン・ホールディングス,グロース（内国株式）,1970-01-01
1401.T,エムビーエス,グロース（内国株式）,1970-01-01
1407.T,ウエストホールディングス,スタンダード（内国株式）,1970-01-01
1414.T,ショーボンドホールディングス,プライム（内国株式）,1970-01-01
1417.T,ミライト・ワン,プライム（内国株式）,1970-01-01
1418.T,インターライフホールディングス,スタンダード（内国株式）,1970-01-01
1419.T,タマホーム,プライム（内国株式）,1970-01-01
1420.T,サンヨーホームズ,スタンダード（内国株式）,1970-01-01
1429.T,日本アクア,プライム（内国株式）,1970-01-01
1430.T,ファーストコーポレーション,プライム（内国株式）,1970-01-01
1431.T,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,1970-01-01
1433.T,ベステラ,プライム（内国株式）,1970-01-01
1434.T,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,1970-01-01
1435.T,Ｒｏｂｏｔ　Ｈｏｍｅ,プライム（内国株式）,1970-01-01
1436.T,フィット,グロース（内国株式）,1970-01-01
1438.T,岐阜造園,スタンダード（内国株式）,1970-01-01
1439.T,安江工務店,スタンダード（内国株式）,1970-01-01
1443.T,技研ホールディングス,スタンダード（内国株式）,1970-01-01
1444.T,ニッソウ,グロース（内国株式）,1970-01-01
1446.T,キャンディル,スタンダード（内国株式）,1970-01-01
1447.T,ＩＴｂｏｏｋホールディングス,グロース（内国株式）,1970-01-01
1450.T,田中建設工業,スタンダード（内国株式）,1970-01-01
1451.T,ＫＨＣ,スタンダード（内国株式）,1970-01-01
1491.T,中外鉱業,スタンダード（内国株式）,1970-01-01
1514.T,住石ホールディングス,スタンダード（内国株式）,1970-01-01
1515.T,日鉄鉱業,プライム（内国株式）,1970-01-01
1518.T,三井松島ホールディングス,プライム（内国株式）,1970-01-01
1605.T,ＩＮＰＥＸ,プライム（内国株式）,1970-01-01
1662.T,石油資源開発,プライム（内国株式）,1970-01-01
1663.T,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,1970-01-01
1711.T,ＳＤＳホールディングス,スタンダード（内国株式）,1970-01-01
1712.T,ダイセキ環境ソリューション,プライム（内国株式）,1970-01-01
1716.T,第一カッター興業,プライム（内国株式）,1970-01-01
1717.T,明豊ファシリティワークス,スタンダード（内国株式）,1970-01-01
1718.T,美樹工業,スタンダード（内国株式）,1970-01-01
1719.T,安藤・間,プライム（内国株式）,1970-01-01
1720.T,東急建設,プライム（内国株式）,1970-01-01
1721.T,コムシスホールディングス,プライム（内国株式）,1970-01-01
1723.T,日本電技,スタンダード（内国株式）,1970-01-01
1724.T,シンクレイヤ,スタンダード（内国株式）,1970-01-01
1726.T,ビーアールホールディングス,プライム（内国株式）,1970-01-01
1730.T,麻生フオームクリート,スタンダード（内国株式）,1970-01-01
1736.T,オーテック,スタンダード（内国株式）,1970-01-01
1739.T,メルディアＤＣ,グロース（内国株式）,1970-01-01
1743.T,コーアツ工業,スタンダード（内国株式）,1970-01-01
1757.T,創建エース,スタンダード（内国株式）,1970-01-01
1758.T,太洋基礎工業,スタンダード（内国株式）,1970-01-01
1762.T,高松コンストラクショングループ,プライム（内国株式）,1970-01-01
1764.T,工藤建設,スタンダード（内国株式）,1970-01-01
1766.T,東建コーポレーション,プライム（内国株式）,1970-01-01
1768.T,ソネック,スタンダード（内国株式）,1970-01-01
1770.T,藤田エンジニアリング,スタンダード（内国株式）,1970-01-01
1773.T,ワイ・ティー・エル・コーポレーション・バーハッド,プライム（外国株式）,1970-01-01
1775.T,富士古河Ｅ＆Ｃ,スタンダード（内国株式）,1970-01-01
1776.T,三井住建道路,スタンダード（内国株式）,1970-01-01
1780.T,ヤマウラ,プライム（内国株式）,1970-01-01
