symbol,name,market,latestClosingDate,is_valid,four_quarters_eps,three_quarters_eps,two_quarters_eps,latest_quarter_eps,four_quarters_revenue,three_quarters_revenue,two_quarters_revenue,latest_quarter_revenue,four_years_eps,three_years_eps,two_years_eps,latest_year_eps,latest_year_roe
A,"Agilent Technologies, Inc. Common Stock",NYSE,2023-07-31,1.0,1.25,1.19,1.02,0.38,1849000000.0,1756000000.0,1717000000.0,1672000000.0,3.47,2.35,4.01,4.25,23.71
AA,Alcoa Corporation Common Stock ,NYSE,2023-06-30,1.0,-4.15,-2.11,-1.31,-0.58,2851000000.0,2663000000.0,2670000000.0,2684000000.0,-6.06,-0.91,2.33,-0.58,-2.02
AAC,Ares Acquisition Corporation Class A Ordinary Shares,NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AAC.U,"Ares Acquisition Corporation Units, each consisting of one Class A ordinary share, and one-fifth of one redeemable warrant",NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AAC.W,"Ares Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AACT.U,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AACT.W,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AAIC,Arlington Asset Investment Corp Class A (new),NYSE,2023-06-30,1.0,0.12,0.16,-0.08,0.17,9754000.0,9566000.0,1802000.0,10968000.0,0.37,-2.02,-0.3,0.19,2.5
AAIC$B,Arlington Asset Investment Corp 7.00% ,NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AAIC$C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AAM$A,"Apollo Asset Management, Inc. 6.375% Series A Preferred Stock",NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AAM$B,"Apollo Asset Management, Inc. 6.375% Series B Preferred Stock",NYSE,1970-01-01,0.0,,,,,,,,,,,,,
AAMC,Altisource Asset Management Corp Com,NYSE,2023-06-30,1.0,-1.16,-1.2,-0.87,-1.11,-440000.0,960000.0,766000.0,639000.0,-0.9,13.42,-1.76,-3.15,12.03
AAN,"Aarons Holdings Company, Inc. Common Stock ",NYSE,2023-06-30,1.0,-0.43,-0.16,0.35,0.18,593384000.0,589584000.0,554361000.0,530372000.0,0.83,-7.58,3.09,-0.15,-0.76
AAP,Advance Auto Parts Inc.,NYSE,2023-06-30,1.0,1.44,1.8,0.72,1.44,2641341000.0,2473745000.0,3417594000.0,2686066000.0,6.4,6.46,8.04,6.52,18.74
AAT,"American Assets Trust, Inc. Common Stock",NYSE,2023-06-30,1.0,0.27,0.2,0.34,0.25,111023000.0,106000000.0,107754000.0,109721000.0,1.0,0.59,0.6,0.92,4.58
