symbol,name,market,latestClosingDate
A,"Agilent Technologies, Inc. Common Stock",NYSE,1970-01-01
AA,Alcoa Corporation Common Stock ,NYSE,1970-01-01
AAC,Ares Acquisition Corporation Class A Ordinary Shares,NYSE,1970-01-01
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,NYSE,1970-01-01
AAIC,Arlington Asset Investment Corp Class A (new),NYSE,1970-01-01
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,NYSE,1970-01-01
AAMC,Altisource Asset Management Corp Com,NYSE,1970-01-01
AAN,"Aarons Holdings Company, Inc. Common Stock ",NYSE,1970-01-01
AAP,Advance Auto Parts Inc.,NYSE,1970-01-01
AAT,"American Assets Trust, Inc. Common Stock",NYSE,1970-01-01
AAU,"Almaden Minerals, Ltd. Common Shares",NYSE,1970-01-01
AB,AllianceBernstein Holding L.P.  Units,NYSE,1970-01-01
ABBV,AbbVie Inc. Common Stock,NYSE,1970-01-01
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,1970-01-01
ABG,Asbury Automotive Group Inc Common Stock,NYSE,1970-01-01
ABM,ABM Industries Incorporated Common Stock,NYSE,1970-01-01
ABR,Arbor Realty Trust Common Stock,NYSE,1970-01-01
ABT,Abbott Laboratories Common Stock,NYSE,1970-01-01
AC,"Associated Capital Group, Inc. Common Stock",NYSE,1970-01-01
ACA,"Arcosa, Inc. Common Stock ",NYSE,1970-01-01
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,NYSE,1970-01-01
ACCO,Acco Brands Corporation Common Stock,NYSE,1970-01-01
ACEL,"Accel Entertainment, Inc. ",NYSE,1970-01-01
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,1970-01-01
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,1970-01-01
ACM,AECOM Common Stock,NYSE,1970-01-01
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,1970-01-01
ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE,1970-01-01
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,1970-01-01
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,1970-01-01
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,NYSE,1970-01-01
ACU,Acme United Corporation. Common Stock,NYSE,1970-01-01
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE,1970-01-01
ADC,Agree Realty Corporation Common Stock,NYSE,1970-01-01
ADCT,ADC Therapeutics SA Common Shares,NYSE,1970-01-01
ADEX,Adit EdTech Acquisition Corp. Common Stock,NYSE,1970-01-01
ADM,Archer-Daniels-Midland Company Common Stock,NYSE,1970-01-01
ADNT,Adient plc Ordinary Shares ,NYSE,1970-01-01
ADRT,Ault Disruptive Technologies Corporation Common Stock,NYSE,1970-01-01
ADT,ADT Inc. Common Stock,NYSE,1970-01-01
ADX,Adams Diversified Equity Fund Inc.,NYSE,1970-01-01
AE,"Adams Resources & Energy, Inc. Common Stock",NYSE,1970-01-01
AEE,Ameren Corporation Common Stock,NYSE,1970-01-01
AEF,"abrdn Emerging Markets Equity Income Fund, Inc. Common Stock",NYSE,1970-01-01
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,1970-01-01
AEG,AEGON N.V. Common Stock,NYSE,1970-01-01
AEL,American Equity Investment Life Holding Company Common Stock,NYSE,1970-01-01
AEM,Agnico Eagle Mines Limited Common Stock,NYSE,1970-01-01
AENZ,Aenza S.A.A. American Depositary Shares,NYSE,1970-01-01
AEO,"American Eagle Outfitters, Inc. Common Stock",NYSE,1970-01-01
AEON,"AEON Biopharma, Inc. Class A Common Stock",NYSE,1970-01-01
AER,AerCap Holdings N.V. Ordinary Shares,NYSE,1970-01-01
AES,The AES Corporation Common Stock,NYSE,1970-01-01
AESC,The AES Corporation Corporate Units,NYSE,1970-01-01
AESI,Atlas Energy Solutions Inc. Class A Common Stock,NYSE,1970-01-01
AEVA,"Aeva Technologies, Inc. Common Stock",NYSE,1970-01-01
AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE,1970-01-01
AFG,"American Financial Group, Inc. Common Stock",NYSE,1970-01-01
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",NYSE,1970-01-01
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",NYSE,1970-01-01
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",NYSE,1970-01-01
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",NYSE,1970-01-01
AFL,AFLAC Incorporated Common Stock,NYSE,1970-01-01
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,NYSE,1970-01-01
AG,First Majestic Silver Corp. Ordinary Shares (Canada),NYSE,1970-01-01
AGCO,AGCO Corporation Common Stock,NYSE,1970-01-01
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,NYSE,1970-01-01
AGE,"AgeX Therapeutics, Inc. Common Stock",NYSE,1970-01-01
AGI,Alamos Gold Inc. Class A Common Shares,NYSE,1970-01-01
AGL,"agilon health, inc. Common Stock",NYSE,1970-01-01
AGM,Federal Agricultural Mortgage Corporation Common Stock,NYSE,1970-01-01
AGO,Assured Guaranty Ltd. Common Stock,NYSE,1970-01-01
AGR,"Avangrid, Inc. Common Stock",NYSE,1970-01-01
AGRO,Adecoagro S.A. Common Shares,NYSE,1970-01-01
AGS,"PlayAGS, Inc. Common Stock",NYSE,1970-01-01
AGTI,"Agiliti, Inc. Common Stock",NYSE,1970-01-01
AGX,"Argan, Inc. Common Stock",NYSE,1970-01-01
AHH,"Armada Hoffler Properties, Inc. Common Stock",NYSE,1970-01-01
AHT,Ashford Hospitality Trust Inc Common Stock,NYSE,1970-01-01
AI,"C3.ai, Inc. Class A Common Stock",NYSE,1970-01-01
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,NYSE,1970-01-01
AIF,Apollo Tactical Income Fund Inc. Common Stock,NYSE,1970-01-01
AIG,"American International Group, Inc. New Common Stock",NYSE,1970-01-01
AIM,AIM ImmunoTech Inc. Common Stock,NYSE,1970-01-01
AIN,Albany International Corporation Common Stock,NYSE,1970-01-01
AINC,Ashford Inc. (Holding Company) Common Stock,NYSE,1970-01-01
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,NYSE,1970-01-01
AIR,AAR Corp. Common Stock,NYSE,1970-01-01
AIRC,Apartment Income REIT Corp. Common Stock,NYSE,1970-01-01
AIRI,Air Industries Group Common Stock,NYSE,1970-01-01
AIT,"Applied Industrial Technologies, Inc. Common Stock",NYSE,1970-01-01
AIU,Meta Data Limited ADS,NYSE,1970-01-01
AIV,Apartment Investment and Management Company Common Stock,NYSE,1970-01-01
AIZ,"Assurant, Inc. Common Stock",NYSE,1970-01-01
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",NYSE,1970-01-01
AJG,Arthur J. Gallagher & Co. Common Stock,NYSE,1970-01-01
AJX,Great Ajax Corp. Common Stock,NYSE,1970-01-01
